sector,ticker,period_end,yf_revenue,sec_revenue,revenue_status,yf_net_income,sec_net_income,net_income_status,yf_capex,sec_capex,capex_status,yf_fcf,sec_fcf(ocf-capex),fcf_status,verified,sec_accession
defense,LMT,2025-12-31,75048000000.0,75048000000,match,5017000000.0,5017000000,match,1649000000.0,1649000000,match,6908000000.0,6908000000,match,1,0001628280-26-004195
defense,LMT,2024-12-31,71043000000.0,71043000000,match,5336000000.0,5336000000,match,1685000000.0,1685000000,match,5287000000.0,5287000000,match,1,0001628280-26-004195
defense,LMT,2023-12-31,67571000000.0,67571000000,match,6920000000.0,6920000000,match,1691000000.0,1691000000,match,6229000000.0,6229000000,match,1,0001628280-26-004195
defense,LMT,2022-12-31,65984000000.0,65984000000,match,5732000000.0,5732000000,match,1670000000.0,1670000000,match,6132000000.0,6132000000,match,1,0000936468-25-000009
defense,NOC,2025-12-31,41954000000.0,41954000000,match,4182000000.0,4182000000,match,1450000000.0,1450000000,match,3307000000.0,3307000000,match,1,0001133421-26-000003
defense,NOC,2024-12-31,41033000000.0,41033000000,match,4174000000.0,4174000000,match,1767000000.0,1767000000,match,2621000000.0,2621000000,match,1,0001133421-26-000003
defense,NOC,2023-12-31,39290000000.0,39290000000,match,2056000000.0,2056000000,match,1775000000.0,1775000000,match,2100000000.0,2100000000,match,1,0001133421-26-000003
defense,NOC,2022-12-31,36602000000.0,36602000000,match,4896000000.0,4896000000,match,1435000000.0,1435000000,match,1466000000.0,1466000000,match,1,0001133421-25-000006
defense,GD,2025-12-31,52550000000.0,52550000000,match,4210000000.0,4210000000,match,1161000000.0,1161000000,match,3959000000.0,3959000000,match,1,0000040533-26-000006
defense,GD,2024-12-31,47716000000.0,47716000000,match,3782000000.0,3782000000,match,916000000.0,916000000,match,3196000000.0,3196000000,match,1,0000040533-26-000006
defense,GD,2023-12-31,42272000000.0,42272000000,match,3315000000.0,3315000000,match,904000000.0,904000000,match,3806000000.0,3806000000,match,1,0000040533-26-000006
defense,GD,2022-12-31,39407000000.0,39407000000,match,3390000000.0,3390000000,match,1114000000.0,1114000000,match,3465000000.0,3465000000,match,1,0000040533-25-000008
defense,RTX,2025-12-31,88603000000.0,88603000000,match,6732000000.0,6732000000,match,3119000000.0,2627000000,sec_replaced,7448000000.0,7940000000,sec_replaced,1,0000101829-26-000006
