sample_id,sector,ticker,table,row_id,metric,period_or_date,db_value,currency,source_url,retrieved_at,how_to_check,filing_value,verified_ok(1/0),notes
1,defense,HO.PA,financials,22,net_income,2024-12-31,1419500000.0,EUR,https://finance.yahoo.com/quote/HO.PA,2026-09-21,"Find 'net_income' in the annual report (IFRS consolidated statements) on the company's IR site for the period; EBITDA/net_debt/fcf are Yahoo-derived, so reconstruct from statements",,,
2,defense,BA.L,financials,43,net_income,2023-12-31,1857000000.0,GBP,https://finance.yahoo.com/quote/BA.L,2026-09-21,"Find 'net_income' in the annual report (IFRS consolidated statements) on the company's IR site for the period; EBITDA/net_debt/fcf are Yahoo-derived, so reconstruct from statements",,,
3,defense,RHM.DE,financials,29,revenue,2025-12-31,9935000000.0,EUR,https://finance.yahoo.com/quote/RHM.DE,2026-09-21,"Find 'revenue' in the annual report (IFRS consolidated statements) on the company's IR site for the period; EBITDA/net_debt/fcf are Yahoo-derived, so reconstruct from statements",,,
4,defense,KOG.OL,financials,51,net_income,2023-12-31,3712000000.0,NOK,https://finance.yahoo.com/quote/KOG.OL,2026-09-21,"Find 'net_income' in the annual report (IFRS consolidated statements) on the company's IR site for the period; EBITDA/net_debt/fcf are Yahoo-derived, so reconstruct from statements",,,
5,defense,NOC,sector_metrics_defense,8,order_backlog,2026-06-30,104700000000.0,USD,https://www.sec.gov/Archives/edgar/data/1133421/000113342126000034/,2026-09-21,Search the 10-K/20-F for 'remaining performance obligation'; compare with the value (USD),,,
6,defense,AM.PA,financials,25,revenue,2025-12-31,7425969000.0,EUR,https://finance.yahoo.com/quote/AM.PA,2026-09-21,"Find 'revenue' in the annual report (IFRS consolidated statements) on the company's IR site for the period; EBITDA/net_debt/fcf are Yahoo-derived, so reconstruct from statements",,,
7,defense,HAG.DE,valuations,9,ev_ebitda,2026-09-21,31.582,EUR,https://finance.yahoo.com/quote/HAG.DE,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
8,defense,SAAB-B.ST,financials,45,total_debt,2025-12-31,14709000000.0,SEK,https://finance.yahoo.com/quote/SAAB-B.ST,2026-09-21,"Find 'total_debt' in the annual report (IFRS consolidated statements) on the company's IR site for the period; EBITDA/net_debt/fcf are Yahoo-derived, so reconstruct from statements",,,
9,defense,AM.PA,financials,28,total_debt,2022-12-31,233652000.0,EUR,https://finance.yahoo.com/quote/AM.PA,2026-09-21,"Find 'total_debt' in the annual report (IFRS consolidated statements) on the company's IR site for the period; EBITDA/net_debt/fcf are Yahoo-derived, so reconstruct from statements",,,
10,defense,SAAB-B.ST,financials,46,fcf,2024-12-31,1893000000.0,SEK,https://finance.yahoo.com/quote/SAAB-B.ST,2026-09-21,"Find 'fcf' in the annual report (IFRS consolidated statements) on the company's IR site for the period; EBITDA/net_debt/fcf are Yahoo-derived, so reconstruct from statements",,,
